Rank,sport,FIS,Last,First,NOC,5,6,7,8,8 1,8 2,9,10,11,12,13,source_pdf,page,14,15,16,17,18,19,20,21,22,23
43,Alpine Women,56367,GALLHUBER,Katharina,AUT,1041029,,104,18,(18),,:,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
49,Alpine Women,56217,BRUNNER,Stephanie,AUT,1001033,,0,88,88,,17,12,34,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,50426100,HOLTMANN,Mina,Fuerst,98,1035,0,14,14,,41,84,19,:,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
51,Alpine Women,507109,ARONSSON,ELFMAN,HANNA,SWE,97,1036,0,,,71,24,26,38,:,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
0,Alpine Women,52107427,ST-GERMAIN,Laurence,CAN,1042,,91,19,(19),,:,,,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
53,Alpine Women,516528,MEILLARD,Melanie,SUI,89,1044,0,89,89,,20,-,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
54,Alpine Women,6596392,HURT,AJ,USA,88,1045,0,20,20,,38,68,26,:,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
56,Alpine Women,56517,ASTNER,Nina,AUT,85,1048,0,0,,,85,18,0,,,ALPW------------------------------__C25B_2.0.pdf,1,,,,,,,,,,
57,Alpine Women,426324,MONSEN,Marte,NOR,79,1054,78,18,(18),,:,1,46,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
57,Alpine Women,209963,ZENERE,Asja,ITA,79,1054,0,0,,,79,20,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Alpine Women,565401,BUCIK,JOGAN,ANA,slo,78,1055,0,,,55,28,23,40,:,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
60,Alpine Women,198176,LAMURE,Marie,FRA,73,1060,0,73,73,,22,,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
61,Alpine Women,299699,PETERLINI,Martina,ITA,72,1061,0,72,72,,23,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
61,Alpine Women,56550,HOERHAGER,Lisa,AUT,72,1061,0,60,60,,26,12,46,:,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
0,Alpine Women,6351607,KASPER,Vanessa,sul,1063,,0,70,70,,23,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
63,Alpine Women,198253,McFARLANE,Caitlin,FRA,70,1063,0,70,70,,25,,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
65,Alpine Women,516611,SCHMITT,Janine,SUI,69,1064,63,19,(19),,-,0,6,41,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
65,Alpine Women,516813,PILLER,Sue,SUI,69,1064,0,0,,,69,25,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
